0	10552	22449	1443	23855
1	8327	22539	7251	18804
2	11805	22225	7459	26997
3	7331	27497	13397	25081
4	31466	13561	25124	5783
5	31467	13562	25125	5784
6	31468	13563	25126	5785
7	31469	13564	25127	5786
8	8383	16753	1264	25340
9	15603	6662	15602	42059
10	15604	4848	15605	42058
11	7455	48783	18036	17624
12	30236	40509	19298	5544
13	36004	5192	43177	13834
14	2617	30402	11857	19959
15	2619	30404	11859	19961
16	3829	18186	11628	32697
17	15093	22679	6929	51250
18	24695	13628	34463	1143
19	6200	18767	7044	18659
20	25072	13587	42383	2034
21	2398	21504	9383	22309
22	2400	21505	9384	22310
23	7174	20547	3519	17446
24	8065	16573	3063	24644
25	44859	13850	45091	24918
26	20138	35237	36365	6331
27	10252	30267	1672	17295
28	18877	6088	36156	35288
29	10972	18626	2471	30341
30	7452	20985	3131	18028
31	2699	35559	24047	18840
32	24694	13629	35600	1144
33	24696	13630	35601	1145
34	24697	13631	35602	1146
35	15854	6896	15853	42893
36	24991	7773	20640	25903
37	24992	7774	20641	25904
38	4963	17522	8158	23721
39	16698	23960	41257	5923
40	4137	36498	13542	19277
41	4138	36499	13543	19278
42	15830	5080	15829	42813
43	15832	6314	15831	42814
44	7657	28329	13177	23956
45	42057	4846	26771	15601
46	18525	35241	38258	6045
47	15321	23792	3041	41045
48	49281	6042	18173	50681
49	6073	19969	2799	15228
50	14889	20519	4329	35738
51	1356	17722	11272	32611
52	5933	36967	14545	23641
53	20376	26036	31038	6328
54	20377	26035	31037	6327
55	20375	26033	31036	6326
56	7638	25480	38445	20456
57	40359	21560	41100	11997
58	40358	21561	41101	11996
59	1057	21397	6521	15193
60	7722	20632	2348	19103
61	7880	23428	9775	21355
62	8769	20169	3377	22383
63	11601	16729	2179	35667
64	2596	25160	15486	41409
65	2598	25162	15488	41411
66	2599	25163	15489	41412
67	7989	19684	6479	20819
68	6482	20821	7992	19686
69	41102	11998	41338	21562
70	41099	11995	41336	21559
71	8178	20802	6767	20267
72	21692	10832	43848	14252
73	18931	6241	49249	17264
74	17098	38661	45128	5208
75	19004	21032	2257	48484
76	19006	21033	2258	48483
77	11986	16232	1848	37992
78	9906	16151	5531	43878
79	43615	15443	50340	19850
80	30725	17545	50555	3743
81	14119	35662	6006	20982
82	45527	35576	20700	14491
83	50694	50380	6041	18203
84	3174	18348	6510	17756
85	3488	26854	8938	17062
86	3491	26856	9685	18514
87	12227	37866	1973	16570
88	4746	17025	8650	26215
89	4748	17027	8652	26216
90	4747	17026	8651	26217
91	9551	18257	4108	20627
92	4449	41213	15118	20675
93	43321	9218	32449	14066
94	43324	9219	32450	14067
95	13966	39067	4722	18738
96	10327	22450	3350	32983
97	10423	22743	8195	23610
98	10422	22744	8194	23611
99	10427	23615	8199	22748
100	8198	22747	10426	23614
101	10428	22745	8197	23616
102	19346	2730	46325	16583
103	7664	23702	12910	28541
104	32681	37036	19138	6207
105	35308	13823	29664	4331
106	17559	2580	17832	51076
107	17560	51075	17833	6498
108	17562	51077	17834	6500
109	13742	39422	2137	18777
110	40958	898	24448	13824
111	41988	24826	36302	5024
112	41990	24825	36303	5025
113	41991	24827	36304	5026
114	51256	7003	38793	15046
115	18598	2542	28865	34412
116	4847	26772	15603	42059
117	10001	26946	3011	19143
118	36077	14799	26441	18707
119	15469	1451	19228	19409
120	1055	31375	9146	14998
121	1056	31377	9147	14999
122	12643	31058	3478	23363
123	12644	31059	3480	23365
124	4366	25763	11115	22271
125	18600	2546	28144	12768
126	17561	50966	17782	6499
127	2355	20916	13133	34257
128	5165	17034	12719	38953
129	25161	15487	41410	2597
130	11901	29230	1814	21179
131	3864	27118	9478	18095
132	5112	40615	15136	19689
133	40619	47238	16002	21931
134	16355	42863	44490	6059
135	12220	28138	8037	22384
136	8633	28104	36048	22083
137	3767	16890	11103	34099
138	11106	34101	3770	16891
139	1984	29059	10226	18430
140	20359	8786	33103	24171
141	5672	20683	13619	34589
142	23951	13859	47082	4030
143	2619	24614	46590	33218
144	1526	33672	13461	21026
145	7723	17762	870	22311
146	8642	27499	39250	22888
147	8643	27500	39249	22889
148	27370	15340	40121	12867
149	2263	47129	19349	17230
150	43783	18966	14754	46964
151	34547	48074	24041	12846
152	6862	22794	9245	21036
153	6864	22795	9246	21037
154	6508	31048	11414	19176
155	37990	16230	41167	1846
156	22224	31228	26549	7553
157	7656	28115	13147	24327
158	11989	38515	14774	24498
159	39334	6825	22079	48859
160	47099	39647	5577	17576
161	49198	30193	8671	20135
162	5954	18846	31925	36384
163	2674	24406	12673	26973
164	9041	18449	3310	26321
165	7870	26010	13746	27765
166	38579	23340	43241	13643
167	15484	39149	11535	21101
168	18612	6678	17319	19370
169	18614	6680	17320	19372
170	2403	24595	11119	24116
171	5863	22541	16417	47547
172	42842	8287	17754	45869
173	6614	35408	14051	33959
174	6615	35409	14052	33960
175	27829	8081	20213	15482
176	6288	50050	47015	17866
177	10833	29352	6791	19242
178	26053	7975	27119	13806
179	26052	7977	27120	13807
180	30900	9285	20313	41278
181	26793	16221	33365	4305
182	15044	4409	22846	51255
183	5782	22037	15947	46405
184	16808	5573	41528	38192
185	18796	6235	46396	16657
186	23337	17202	48644	5335
187	6174	30078	13545	31904
188	26870	3123	27737	13834
189	33428	9221	33583	14278
190	25180	13828	26655	7292
191	5788	17074	21488	39356
192	5790	17075	21489	39357
193	33428	14278	30285	4192
194	4569	15798	7505	24506
195	20819	6479	21334	31835
196	20820	6481	21336	31836
197	20821	6482	21335	31837
198	22180	30897	26488	7548
199	34274	29916	20140	1140
200	14171	4212	50164	31388
201	4359	33084	12893	22275
202	24841	7776	28654	13835
203	24842	7777	29852	13836
204	24843	7778	29850	13837
205	24844	7779	29851	13838
206	19721	8499	28117	22664
207	2634	21253	38618	31173
208	2635	21254	38619	31174
209	30239	44041	18311	2648
210	36589	6435	40486	15464
211	20362	16929	32168	6094
212	5451	38068	12779	17528
213	16383	1327	43946	42515
214	19508	24318	21713	3466
215	49167	22997	3469	28943
216	49168	22998	3470	28944
217	49169	22999	3471	28945
218	49170	23000	3472	28946
219	4433	23263	9716	21749
220	9718	21751	4434	23265
221	6848	22825	46458	15810
222	41282	5053	17421	23508
223	8010	20073	6456	20827
224	6458	20829	8012	20074
225	2651	16563	6407	19574
226	41263	2265	42279	15864
227	15662	43735	16587	7900
228	15663	1140	16588	43736
229	51325	51292	2581	18253
230	3839	28270	12611	23351
231	12613	23357	3841	28272
232	8818	48902	22253	14948
233	6385	29916	34076	20868
234	6134	14239	3022	23160
235	50466	35182	2244	22419
236	5768	47323	16649	25008
237	5771	47326	16652	25011
238	42057	15600	26467	4846
239	7787	21357	1420	18928
240	33411	6196	28893	14533
241	37941	4660	50076	22207
242	37940	4659	50075	22206
243	2685	23653	14385	38779
244	20743	15080	47026	5207
245	20744	15081	47027	5208
246	20745	15082	47028	5209
247	14119	20982	2132	34603
248	50689	15722	51338	43090
249	7912	24805	13005	36127
250	7911	24804	13004	36125
251	17905	29281	18370	2105
252	15899	1331	49804	45889
253	31253	6556	27844	14105
254	42992	28807	2889	20367
255	42993	28808	2891	20369
256	3752	28883	10532	19102
257	19007	16506	43957	6274
258	11554	26226	4458	23025
259	5294	42541	14263	17810
260	24143	7835	22140	32209
261	24145	7837	22141	32210
262	23460	1016	39384	13950
263	18391	17782	50966	2582
264	15878	39412	16272	5465
265	26410	37804	23197	8767
266	46711	6968	24180	17092
267	16986	6420	17588	49020
268	33032	32417	9490	19866
269	23999	7747	50150	26213
270	17862	29271	18352	2106
271	17863	29272	18353	2107
272	35906	24042	3184	31614
273	28551	9152	20007	28333
274	35108	29299	18111	1640
275	4998	20788	6595	16148
276	14072	25249	3327	33015
277	37948	15171	38929	4760
278	2849	19216	13506	38666
279	49181	33703	9763	22652
280	8663	18258	39006	28762
281	8662	18259	39007	28763
282	8661	18257	39009	28761
283	8660	18256	39008	28760
284	7540	40163	13370	27898
285	12525	29253	14848	40379
286	5274	26011	15682	42362
287	10786	27194	2499	20752
288	14493	18957	6960	40803
289	3245	15447	10621	24399
